Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

[   0% ] first_scan_filesystem | Started 项目初始化 (5 steps)
[   0% ] first_scan_filesystem | 正在扫描文件结构……
[  16% ] first_scan_filesystem | 正在加载全局类名……
[  33% ] first_scan_filesystem | 正在校验 GDExtension……
[  50% ] first_scan_filesystem | 正在创建自动加载脚本……
[  66% ] first_scan_filesystem | 正在初始化插件……
[  83% ] first_scan_filesystem | 正在启动文件扫描……
[ DONE ] first_scan_filesystem

[   0% ] _update_scan_actions | Started 正在扫描动作…… (15 steps)
[   0% ] _update_scan_actions | elite_rusher_dash_path.png
[   6% ] _update_scan_actions | elite_rusher_dash_path.svg
[  12% ] _update_scan_actions | enemy_rift_rusher_dash.png
[  18% ] _update_scan_actions | enemy_rift_rusher_death.png
[  25% ] _update_scan_actions | enemy_rift_rusher_idle.png
[  31% ] _update_scan_actions | enemy_rift_rusher_move.png
[  37% ] _update_scan_actions | enemy_rift_rusher_recover.png
[  43% ] _update_scan_actions | enemy_rift_rusher_windup.png
[  50% ] _update_scan_actions | enemy_rift_rusher_dash.png
[  56% ] _update_scan_actions | enemy_rift_rusher_death.png
[  62% ] _update_scan_actions | enemy_rift_rusher_idle.png
[  68% ] _update_scan_actions | enemy_rift_rusher_move.png
[  75% ] _update_scan_actions | enemy_rift_rusher_recover.png
[  81% ] _update_scan_actions | enemy_rift_rusher_reference.png
[  87% ] _update_scan_actions | enemy_rift_rusher_windup.png
[ DONE ] _update_scan_actions

[   0% ] reimport | Started 正在导入或重新导入资产 (15 steps)
[   0% ] reimport | 正在准备重新导入文件……
[   6% ] reimport | 正在准备重新导入文件……
[  12% ] reimport | 正在准备重新导入文件……
[  18% ] reimport | 正在准备重新导入文件……
[  25% ] reimport | 正在准备重新导入文件……
[  31% ] reimport | 正在准备重新导入文件……
[  37% ] reimport | 正在准备重新导入文件……
[  43% ] reimport | 正在准备重新导入文件……
[  50% ] reimport | 正在准备重新导入文件……
[  56% ] reimport | 正在准备重新导入文件……
[  62% ] reimport | 正在准备重新导入文件……
[  68% ] reimport | 正在准备重新导入文件……
[  75% ] reimport | 正在准备重新导入文件……
[  81% ] reimport | 正在准备重新导入文件……
[  87% ] reimport | 正在准备重新导入文件……
[   0% ] reimport | 正在执行重新导入的前置操作……
[   0% ] reimport | elite_rusher_dash_path.png
[   6% ] reimport | elite_rusher_dash_path.svg
[  12% ] reimport | enemy_rift_rusher_dash.png
[  18% ] reimport | enemy_rift_rusher_death.png
[  25% ] reimport | enemy_rift_rusher_idle.png
[  31% ] reimport | enemy_rift_rusher_move.png
[  37% ] reimport | enemy_rift_rusher_recover.png
[  43% ] reimport | enemy_rift_rusher_windup.png
[  50% ] reimport | enemy_rift_rusher_dash.png
[  56% ] reimport | enemy_rift_rusher_death.png
[  62% ] reimport | enemy_rift_rusher_idle.png
[  68% ] reimport | enemy_rift_rusher_move.png
[  75% ] reimport | enemy_rift_rusher_recover.png
[  81% ] reimport | enemy_rift_rusher_reference.png
[  87% ] reimport | enemy_rift_rusher_windup.png
[  93% ] reimport | 正在结束资产导入……
[ DONE ] reimport

[   0% ] reimport | Started 正在导入或重新导入资产 (15 steps)
[   0% ] reimport | 正在执行重新导入的后置操作……
[ DONE ] reimport

[   0% ] loading_editor_layout | Started 正在加载编辑器 (5 steps)
[   0% ] loading_editor_layout | 正在加载编辑器布局……
[  16% ] loading_editor_layout | 正在加载停靠面板……
[ DONE ] loading_editor_layout

